,X2020.05.Read1,X2020.06.Read1,X2020.06.Read2,X2020.06.Read3,X2020.06.Read4,X2020.06.Read5,X2020.06.Read6,X2020.06.Read7,X2020.06.Read8,X2020.06.Read9,X2020.06.Read10,X2020.06.Read11,X2020.06.Read12,X2020.07.Read1,X2020.07.Read2,X2020.07.Read3,X2020.07.Read4,X2020.07.Read5,X2020.07.Read6,X2020.07.Read7,X2020.07.Read8,X2020.07.Read9,X2020.07.Read10,X2020.07.Read11,X2020.08.Read1,X2020.08.Read2,X2020.08.Read3,X2020.08.Read4,X2020.08.Read5,X2020.08.Read6,X2020.08.Read7,X2020.08.Read8,X2020.08.Read9,X2020.08.Read10,X2020.08.Read11,X2020.08.Read12,X2020.08.Read13,X2020.08.Read14,X2020.09.Read1,X2020.09.Read2,X2020.09.Read3,X2020.09.Read4,X2020.09.Read5,X2020.09.Read6,X2020.09.Read7,X2020.09.Read8,X2020.09.Read9,X2020.09.Read10,X2020.09.Read11,X2020.09.Read12,X2020.09.Read13,X2020.09.Read14,X2020.09.Read15,X2020.09.Read16,X2020.09.Read17,X2020.09.Read18,X2020.10.Read1,X2020.10.Read2,X2020.10.Read3,X2020.10.Read4,X2020.10.Read5,X2020.10.Read6,X2020.10.Read7,X2020.10.Read8,X2020.10.Read9,X2020.10.Read10,X2020.10.Read11,X2020.10.Read12,X2020.10.Read13,X2020.10.Read14,X2020.10.Read15,X2020.10.Read16,X2020.11.Read1,X2020.11.Read2,X2020.11.Read3,X2020.11.Read4,X2020.11.Read5,X2020.11.Read6,X2020.11.Read7,X2020.11.Read8,X2020.11.Read9,X2020.11.Read10,X2020.11.Read11,X2020.11.Read12,X2020.11.Read13,X2020.11.Read14,X2020.11.Read15,X2020.11.Read16,X2020.12.Read1,X2020.12.Read2,X2020.12.Read3,X2020.12.Read4,X2020.12.Read5,X2020.12.Read6,X2020.12.Read7,X2020.12.Read8,X2020.12.Read9,X2020.12.Read10,X2020.12.Read11,X2020.12.Read12,X2020.12.Read13,X2020.12.Read14,X2021.01.Read1,X2021.01.Read2,X2021.01.Read3,X2021.01.Read4,X2021.01.Read5,X2021.01.Read6,X2021.01.Read7,X2021.01.Read8,X2021.01.Read9,X2021.01.Read10,X2021.01.Read11,X2021.01.Read12,X2021.01.Read13,X2021.01.Read14,X2021.02.Read1,X2021.02.Read2,X2021.02.Read3,X2021.02.Read4,X2021.02.Read5,X2021.02.Read6,X2021.02.Read7,X2021.02.Read8,X2021.02.Read9,X2021.02.Read10,X2021.02.Read11,X2021.02.Read12,X2021.02.Read13,X2021.03.Read1,X2021.03.Read2,X2021.03.Read3,X2021.03.Read4,X2021.03.Read5,X2021.03.Read6,X2021.03.Read7,X2021.03.Read8,X2021.03.Read9,X2021.03.Read10,X2021.03.Read11,X2021.03.Read12,X2021.03.Read13,X2021.03.Read14,X2021.03.Read15,X2021.03.Read16,X2021.03.Read17,X2021.04.Read1,X2021.04.Read2,X2021.04.Read3,X2021.04.Read4,X2021.04.Read5,X2021.04.Read6,X2021.04.Read7,X2021.04.Read8,X2021.04.Read9,X2021.04.Read10,X2021.04.Read11,X2021.04.Read12,X2021.04.Read13,X2021.05.Read1,X2021.05.Read2,X2021.05.Read3,X2021.05.Read4,X2021.05.Read5,X2021.05.Read6,X2021.05.Read7,X2021.05.Read8,X2021.05.Read9,X2021.05.Read10,X2021.05.Read11,X2021.05.Read12,X2021.05.Read13,X2021.05.Read14,X2021.06.Read1,X2021.06.Read2,X2021.06.Read3,X2021.06.Read4,X2021.06.Read5,X2021.06.Read6,X2021.06.Read7,X2021.06.Read8,X2021.06.Read9,X2021.06.Read10,X2021.06.Read11,X2021.06.Read12,X2021.06.Read13,X2021.06.Read14,X2021.06.Read15,X2021.06.Read16,X2021.07.Read1,X2021.07.Read2,X2021.07.Read3,X2021.07.Read4,X2021.07.Read5,X2021.07.Read6,X2021.07.Read7,X2021.07.Read8,X2021.07.Read9,X2021.07.Read10,X2021.07.Read11,X2021.07.Read12,X2021.07.Read13,X2021.07.Read14,X2021.07.Read15,X2021.07.Read16,X2021.08.Read1,X2021.08.Read2,X2021.08.Read3,X2021.08.Read4,X2021.08.Read5,X2021.08.Read6,X2021.08.Read7,X2021.08.Read8,X2021.08.Read9,X2021.08.Read10,X2021.08.Read11,X2021.08.Read12,X2021.08.Read13,X2021.08.Read14,X2021.08.Read15,X2021.08.Read16,X2021.09.Read1,X2021.09.Read2,X2021.09.Read3,X2021.09.Read4,X2021.09.Read5,X2021.09.Read6,X2021.09.Read7,X2021.09.Read8,X2021.09.Read9,X2021.09.Read10,X2021.09.Read11,X2021.09.Read12,X2021.09.Read13,X2021.09.Read14,X2021.09.Read15,X2021.09.Read16,X2021.10.Read1,X2021.10.Read2,X2021.10.Read3,X2021.10.Read4,X2021.10.Read5,X2021.10.Read6,X2021.10.Read7,X2021.10.Read8,X2021.10.Read9,X2021.10.Read10,X2021.10.Read11,X2021.10.Read12,X2021.10.Read13,X2021.10.Read14,X2021.10.Read15,X2021.10.Read16,X2021.11.Read1,X2021.11.Read2,X2021.11.Read3,X2021.11.Read4,X2021.11.Read5,X2021.11.Read6,X2021.11.Read7,X2021.11.Read8,X2021.11.Read9,X2021.11.Read10,X2021.11.Read11,X2021.11.Read12,X2021.11.Read13,X2021.11.Read14,X2021.11.Read15,X2021.11.Read16,X2021.11.Read17,X2021.11.Read18,X2021.12.Read1,X2021.12.Read2,X2021.12.Read3,X2021.12.Read4,X2021.12.Read5,X2021.12.Read6,X2021.12.Read7,X2021.12.Read8,X2021.12.Read9,X2021.12.Read10,X2021.12.Read11,X2021.12.Read12,X2022.01.Read1,X2022.01.Read2,X2022.01.Read3,X2022.01.Read4,X2022.01.Read5,X2022.01.Read6,X2022.01.Read7,X2022.01.Read8
Fairlie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21820,5230,1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228,1310,6807.36559464783,7456,1807.40857750868,950.665958878454,0,0,614,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,423,NA,NA,NA,NA,NA,NA,NA,6060,794,0,0,0,0,0,424,NA,NA,NA,NA,NA,NA,531.687627096122,0,851.712714223935,1344.03333964192,425.253196206765,0,1067.98214219668,1881.2523493601,3103.86280622459,NA,NA,NA,NA,NA,NA,NA,2251.08284024309,1495.66320843649,3846.34486856515,10355,1012.59258648664,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8713.64525045795,1647.73798620897,0,0,4391.81945131686,3157.64884955568,7121.99560697729,17144,NA,NA,NA,NA,NA,NA,NA,NA,2072.46366242569,26857,7740.68439749255,30986,84398,4365.9132814078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.078413688731,6887.58499252272,7097.82951372818,3987.33809884184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43963,9281.22773927777,14045,15430,3263.2271765,129795,243008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27550,40066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkirk,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,2085,6494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41042,30605,32240,2506.14544835532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25709,2889.20738341435,17292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47482,130261,16060,29710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72551,212565,77856,48650,NA,NA,NA,NA,NA,NA,NA,NA,NA,6831,48542,22909,11082,14538,29161,31034,34263,19796,NA,NA,NA,NA,NA,NA,NA,NA,14460,5309,12000,6157,3093,3893,NA,NA,NA,NA,NA,NA,NA,2508,0,6853,5718,15662,15552,6424,NA,NA,NA,NA,NA,NA,NA,8714,3642.73667044638,15339,23240,15682,18733,41512,10662.9395745383,78302,NA,NA,NA,NA,NA,NA,NA,224932,132357,112497,48511,61831,56377,26368,NA,NA,NA,NA,NA,NA,NA,NA,NA,14022,23589,42837,82871,24107,88316,82322,134738,274352,NA,NA,NA,NA,NA,NA,NA,373476,453928,193262,166577,202700,92651,82311,168797,NA,NA,NA,NA,NA,NA,NA,NA,147653,73871,109898,94030,62976,174614,72507,44184,176716,137106,NA,NA,NA,NA,NA,NA,46022,48762,47025,39270,103700,NA,24745,84269,119284,71524,97372,NA,NA,NA,NA,NA,NA,NA,365167,102139,60874,160026,203933,240595,243923,287635,NA,NA,NA,NA,140763,55335,149937,189537,118902,NA,NA,NA
Fauldhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25551,5266.91855506048,4447.20304810295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115165,41875,27470,5878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24883,21882,8138,8056,69435,18505,NA,NA,NA,NA,NA,NA,NA,116131,99646,24378,NA,1917.09258068725,21505,34305,6070,2876,NA,NA,NA,NA,NA,NA,NA,NA,5842,1398,NA,NA,0,700,1862,4305,NA,NA,NA,NA,NA,4748,3258,732,0,0,2345,0,385,NA,NA,NA,NA,NA,NA,60718,14469,24285,129728,17330,199626,129623,285003,NA,NA,NA,NA,NA,NA,NA,NA,214983,431701,617985,368514,133844,137476,68024,NA,NA,NA,NA,NA,NA,NA,NA,NA,16177,87449,269442,540477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179788,NA,694857,387858,280564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54011,94385,42651,500001,185311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15691,99990,38650,118430,90616,153528,244296,416300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54679,NA,147889,NA,NA,NA,NA,NA,NA,NA,NA,NA,64512,NA,NA,NA,NA,NA,NA,NA
Forfar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8923,7671,14621,47435,4839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087,2364,8332,14528,731,1034,NA,NA,NA,NA,NA,NA,NA,729,1333,496,4556,841,4914,499,NA,NA,NA,NA,NA,NA,NA,7588.37012753453,47203,56895,75236,14426,5455.28911364388,42538,27566,NA,NA,NA,NA,NA,NA,NA,NA,34692,80839,85232,229339,151423,66403,129850,37917,14491,NA,NA,NA,NA,NA,NA,NA,52756,10150,11838,2858.57028509848,26274,32241,52097,116831,117845,NA,NA,NA,NA,NA,NA,NA,124593,319396,237266,54596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50095,342062,91468,28941,308233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26022,54061,106750,80795,336347,64217,150763,429849,93793,NA,NA,NA,NA,NA,NA,NA,NA,NA,68822,49892,82404,96149,NA,NA,NA,NA,NA,NA,NA,NA,98939,430912,157988,NA,NA,NA,NA,NA
Forfar - Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12556,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,555,0,3098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1229,1044,2909,4873,28190,NA,NA,NA,NA,NA,NA,6557.312505889,9221.99569154548,1704.10581772016,6150.13308336202,47108,14921,3035.98604321296,195888,NA,NA,NA,NA,NA,NA,NA,NA,184422,79523,104737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6225.48023398188,4551.5,208846,23609,18904,59636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34801,15415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75941,53158,33839,305688,408981,90700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160173,348534,234000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159569,NA,40395,245142,241209,NA,NA,NA,NA,NA,NA,NA,196414,NA,NA,NA,NA,NA,NA,NA
Fort William,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,0,0,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,0,58658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132153,16112,164110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1502.80040539619,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2130.17356408279,1846.83604442957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.880565578593,416885,1018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954.116572351114,5581,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560,24675,1012,827.120029859665,1366.10016323731,831,2400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,835,0,NA,NA,NA,NA,NA,385,0,0,1002,0,0,25719,NA,NA,NA,NA,NA,NA,NA,44650,33716,28924,11532.1964743226,8564.29729741751,39788,26082,NA,NA,NA,NA,NA,NA,NA,NA,NA,60334,63748,124266,65124,20481,168597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149003,80568,66999,124666,137274,254207,130366,NA,NA,NA,NA,NA,NA,NA,NA,NA,1424782,94151,168727,77329,NA,69569,93619,NA,NA,NA,NA,NA,NA,NA,NA,NA,98675,42357,14897,71702,119599,30069,55979,55283,NA,NA,NA,NA,NA,NA,NA,NA,60287,69620,53156,102905,13151,51770,3302.97376528731,18660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52716,20205,70678,NA,NA,NA,NA,NA,NA,NA,NA,NA,33032,123400,NA,NA,NA,NA,NA,NA
Fraserburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72760,23116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33697,60561,10555,11619,26995,35762,19959,86878,87610,13827,NA,NA,NA,50222,133435,4553,106503,47967,10744,4181.246612664,17268,38234,6939,18140,11672,31062,3678,NA,NA,NA,0,1953,888,432,852,2216,22071,569,8343,0,NA,NA,NA,0,494,0,0,0,0,364,446,NA,NA,NA,NA,NA,NA,0,0,441.765568282543,0,8400.76660720462,2376.5101575338,33934,41077,NA,NA,NA,NA,NA,NA,NA,NA,174681,164378,166436,302608,185845,271528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80651,118549,646405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389664,448711,252886,235433,256698,163805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80130,140353,148599,149793,144742,257886,688059,NA,NA,NA,NA,NA,NA,NA,NA,NA,401774,177833,167465,193682,95408,114703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72929,34768,45027,37287,597421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galashiels,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3991.1699122156,3927.11049974435,3431,2272.74728333897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21303,23879,2620.84357062039,25862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194.76785302906,0,2213.7844361812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7024.8184559331,27588,1886,68542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381,801,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,1087.79609285299,1161.97745223194,3766,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,335,1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2435.99758830422,8765.69996638473,55898,3505.3586346491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24645,38377,23892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22846,46982,312430,425367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197061,94555,29333,66468,31000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24597,70946,8320.73524175295,72844,216518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17465,74842,33999,47804,189813,505333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19198,7024.64203791234,48292,88416,37400,274020,NA,NA,NA,NA,NA,NA,82476,15564,12582,NA,NA,NA,NA,NA
Girvan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2898,1382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2198,398.54928353109,0,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4836,3558,3038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2259,3816.11429971948,8415.64235417199,2478.9321691579,45338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130916,111650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367662,339667,58743,160044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3933.76380338398,49714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25241,28045,50265,38972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119519,60902,57930,195349,NA,NA,NA,NA,NA,NA,NA,NA,62360,NA,NA,NA,NA,NA,NA,NA
Grantown on Spey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guardbridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,3595,354,1462,312,NA,NA,NA,NA,NA,680,22616,1379.38278217347,475.216021914475,0,0,321,1221,3233,NA,NA,NA,NA,NA,NA,NA,NA,12726,1825,422,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,228,0,0,0,0,0,0,1357,NA,NA,NA,NA,NA,1091.79246185809,1642.89967324868,1465.22408353147,2881.18229628176,5852.23601766556,2540.20180729262,9325.9198508427,NA,NA,NA,NA,NA,NA,NA,NA,NA,21238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66983,98646,52328,170266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223510,259002,107561,304640,345793,17893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97005,30621,22499,45663,117259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77184,125148,12778,104128,381549,324264,91160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38624,3979.86030093942,23966,204269,NA,NA,NA,NA,NA,NA,NA,NA,21038,81134,NA,NA,NA,NA,NA,NA
