,Site,Year,Month,Week,x
4343,Newport & Tayport,2021,09,36,1681048
4344,Newtown St Boswell,2021,09,36,29672
4345,Nigg,2021,09,36,1032472
4346,Paisley,2021,09,36,517483
4347,Paisley - Blackhall,2021,09,36,333293
4348,Paisley - Brediland,2021,09,36,2380
4349,Peebles,2021,09,36,28456
4350,Penicuik,2021,09,36,NA
4351,Perth,2021,09,36,281156
4352,Peterhead,2021,09,36,68603
4353,Philipshill,2021,09,36,553786
4354,Sanquhar,2021,09,36,546176
4355,Seafield,2021,09,36,402868.333333333
4356,Seafield - Cockenzie,2021,09,36,NA
4357,Selkirk,2021,09,36,123687
4358,Shieldhall,2021,09,36,500617.5
4359,Shieldhall - Barrhead,2021,09,36,227920
4360,Shieldhall - Gorbals,2021,09,36,117740
4361,Shieldhall - Pollockshields West,2021,09,36,165526
4362,Springfield,2021,09,36,1223607
4363,St Andrews,2021,09,36,461618.5
4364,St Andrews - University (2979),2021,09,36,21423.5
4365,St Andrews - University (4964),2021,09,36,17199.5
4366,Stevenston,2021,09,36,93265
4367,Stevenston - Stevenston East,2021,09,36,11742
4368,Stevenston - Stevenston West,2021,09,36,358006
4369,Stirling,2021,09,36,82751
4370,Stirling - University,2021,09,36,345348
4371,Stonehouse,2021,09,36,423858
4372,Stornoway,2021,09,36,9563
4373,Tillicoultry,2021,09,36,1192779.5
4374,Troqueer,2021,09,36,393696
4375,Turriff,2021,09,36,587036
4376,Whitburn,2021,09,36,1600795
4377,Winchburgh,2021,09,36,2340
4378,Allanfearn,2020,09,37,2845.25
4379,Annan,2020,09,37,0
4380,Carbarns,2020,09,37,2629.5
4381,Dalmuir,2020,09,37,14977
4382,Dalscone,2020,09,37,585
4383,Dunfermline,2020,09,37,727
4384,Falkirk,2020,09,37,2085
4385,Fort William,2020,09,37,0
4386,Galashiels,2020,09,37,0
4387,Hatton,2020,09,37,1351
4388,Hawick,2020,09,37,5498
4389,Kirkwall,2020,09,37,0
4390,Lerwick,2020,09,37,0
4391,Levenmouth,2020,09,37,759.333333333333
4392,Lockerbie,2020,09,37,4604.5
4393,Meadowhead,2020,09,37,0
4394,Nairn,2020,09,37,0
4395,Nigg,2020,09,37,419
4396,Peebles,2020,09,37,0
4397,Philipshill,2020,09,37,1612
4398,Seafield,2020,09,37,9357
4399,Shieldhall,2020,09,37,12183.25
4400,Stirling,2020,09,37,0
4401,Stornoway,2020,09,37,0
4402,Troqueer,2020,09,37,626
4403,Allanfearn,2021,09,37,314049
